Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2,
Sample Interval,0.00016,
Filter Frequency,550,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.0000e+01,-0.00799998,-0.208
-9.9998e+00,2.09808e-08,0.16
-9.9997e+00,0.00800002,-0.192
-9.9995e+00,0.024,0.168
-9.9994e+00,0.032,-0.312
-9.9992e+00,0.04,0.16
-9.9990e+00,0.032,-0.12
-9.9989e+00,0.032,0.152
-9.9987e+00,0.024,-0.104
-9.9986e+00,0.016,0.192
-9.9984e+00,0.00800002,-0.136
-9.9982e+00,2.09808e-08,0.2
-9.9981e+00,-0.016,-0.2
-9.9979e+00,-0.024,0.208
-9.9978e+00,-0.04,-0.224
-9.9976e+00,-0.048,0.272
-9.9974e+00,-0.056,-0.4
-9.9973e+00,-0.056,0.336
-9.9971e+00,-0.056,-0.504
-9.9970e+00,-0.056,0.176
-9.9968e+00,-0.064,-0.416
-9.9966e+00,-0.064,0.312
-9.9965e+00,-0.064,-0.376
-9.9963e+00,-0.072,0.256
-9.9962e+00,-0.064,-0.424
-9.9960e+00,-0.064,0.216
-9.9958e+00,-0.056,-0.408
-9.9957e+00,-0.048,0.28
-9.9955e+00,-0.04,-0.416
-9.9954e+00,-0.04,0.344
-9.9952e+00,-0.04,-0.552
-9.9950e+00,-0.04,0.312
-9.9949e+00,-0.04,-0.328
-9.9947e+00,-0.04,0.256
-9.9946e+00,-0.04,-0.352
-9.9944e+00,-0.04,0.28
-9.9942e+00,-0.048,-0.304
-9.9941e+00,-0.064,0.328
-9.9939e+00,-0.072,-0.424
-9.9938e+00,-0.072,0.144
-9.9936e+00,-0.072,-0.336
-9.9934e+00,-0.056,0.232
-9.9933e+00,-0.04,-1.112
-9.9931e+00,-0.032,0.208
-9.9930e+00,-0.024,-0.4
-9.9928e+00,-0.024,0.216
-9.9926e+00,-0.032,-0.24
-9.9925e+00,-0.032,0.16
-9.9923e+00,-0.032,-0.256
-9.9922e+00,-0.024,0.168
-9.9920e+00,-0.016,-0.368
-9.9918e+00,-0.00799998,0.152
-9.9917e+00,-0.00799998,-0.392
-9.9915e+00,2.09808e-08,0.16
-9.9914e+00,0.00800002,-0.24
-9.9912e+00,0.016,0.152
-9.9910e+00,0.032,-0.272
-9.9909e+00,0.04,0.16
-9.9907e+00,0.04,-0.2
-9.9906e+00,0.032,0.168
-9.9904e+00,0.032,-0.064
-9.9902e+00,0.024,0.176
-9.9901e+00,0.016,-0.136
-9.9899e+00,0.00800002,0.208
-9.9898e+00,2.09808e-08,-0.184
-9.9896e+00,-0.00799998,0.2
-9.9894e+00,-0.00799998,-0.272
-9.9893e+00,-0.016,0.216
-9.9891e+00,-0.016,-0.272
-9.9890e+00,-0.016,0.248
-9.9888e+00,-0.024,-0.272
-9.9886e+00,-0.024,0.296
-9.9885e+00,-0.032,-0.288
-9.9883e+00,-0.04,0.256
-9.9882e+00,-0.048,-0.416
-9.9880e+00,-0.048,0.248
-9.9878e+00,-0.048,-0.416
-9.9877e+00,-0.048,0.344
-9.9875e+00,-0.048,-0.4
-9.9874e+00,-0.048,0.288
-9.9872e+00,-0.048,-0.416
-9.9870e+00,-0.04,0.312
-9.9869e+00,-0.04,-0.48
